C copy string: rs=cd:ab;tu=ar:bcs;vw=bt:acr
I 2826.63] Elapsed: 47:07, vertices: 317, facets final: 102, pending: 2954
I 2832.22] Elapsed: 47:12, vertices: 317, facets final: 103, pending: 2953
I 2840.54] Elapsed: 47:21, vertices: 317, facets final: 104, pending: 2952
I 2853.59] Elapsed: 47:34, vertices: 317, facets final: 104, pending: 2952
I 2865.06] Elapsed: 47:45, vertices: 318, facets final: 104, pending: 2939
I 2870.64] Elapsed: 47:51, vertices: 319, facets final: 104, pending: 2941
I 2878.02] Elapsed: 47:58, vertices: 320, facets final: 104, pending: 2927
I 2884.85] Elapsed: 48:05, vertices: 321, facets final: 105, pending: 2926
I 2895.35] Elapsed: 48:15, vertices: 322, facets final: 105, pending: 2924
I 2901.23] Elapsed: 48:21, vertices: 324, facets final: 105, pending: 2933
I 2910.72] Elapsed: 48:31, vertices: 326, facets final: 106, pending: 2892
I 2918.42] Elapsed: 48:38, vertices: 326, facets final: 108, pending: 2890
I 2925.24] Elapsed: 48:45, vertices: 327, facets final: 108, pending: 2872
I 2938.24] Elapsed: 48:58, vertices: 329, facets final: 108, pending: 2854
I 2944.19] Elapsed: 49:04, vertices: 330, facets final: 108, pending: 2845
I 2953.67] Elapsed: 49:14, vertices: 331, facets final: 109, pending: 2867
I 2958.73] Elapsed: 49:19, vertices: 332, facets final: 109, pending: 2863
I 2967.42] Elapsed: 49:27, vertices: 333, facets final: 110, pending: 2846
I 2977.78] Elapsed: 49:38, vertices: 333, facets final: 110, pending: 2846
I 2989.64] Elapsed: 49:50, vertices: 335, facets final: 110, pending: 2811
I 2999.35] Elapsed: 49:59, vertices: 336, facets final: 110, pending: 2817
I 3006.52] Elapsed: 50:07, vertices: 338, facets final: 111, pending: 2796
I 3014.03] Elapsed: 50:14, vertices: 338, facets final: 111, pending: 2796
I 3041.73] Elapsed: 50:42, vertices: 339, facets final: 111, pending: 2796
I 3047.53] Elapsed: 50:48, vertices: 340, facets final: 111, pending: 2793
Warning: numerical instability (primal simplex, phase II)
I 3061.49] Elapsed: 51:01, vertices: 341, facets final: 112, pending: 2789
I 3073.09] Elapsed: 51:13, vertices: 342, facets final: 113, pending: 2796
I 3087.55] Elapsed: 51:28, vertices: 343, facets final: 113, pending: 2779
I 3097.03] Elapsed: 51:37, vertices: 344, facets final: 114, pending: 2782
I 3103.55] Elapsed: 51:44, vertices: 344, facets final: 114, pending: 2782
I 3119.68] Elapsed: 52:00, vertices: 345, facets final: 114, pending: 2766
I 3126.33] Elapsed: 52:06, vertices: 346, facets final: 114, pending: 2770
I 3137.15] Elapsed: 52:17, vertices: 347, facets final: 114, pending: 2764
I 3144.82] Elapsed: 52:25, vertices: 349, facets final: 114, pending: 2762
I 3156.89] Elapsed: 52:37, vertices: 350, facets final: 114, pending: 2766
I 3164.46] Elapsed: 52:44, vertices: 351, facets final: 115, pending: 2758
I 3176.33] Elapsed: 52:56, vertices: 351, facets final: 115, pending: 2758
I 3183.74] Elapsed: 53:04, vertices: 352, facets final: 116, pending: 2794
I 3189.08] Elapsed: 53:09, vertices: 352, facets final: 116, pending: 2794
I 3194.49] Elapsed: 53:14, vertices: 353, facets final: 117, pending: 2856
I 3201.93] Elapsed: 53:22, vertices: 353, facets final: 117, pending: 2856
I 3211.94] Elapsed: 53:32, vertices: 354, facets final: 117, pending: 2855
I 3221.01] Elapsed: 53:41, vertices: 355, facets final: 117, pending: 2857
I 3226.72] Elapsed: 53:47, vertices: 356, facets final: 117, pending: 2867
I 3236.33] Elapsed: 53:56, vertices: 357, facets final: 118, pending: 2841
