# Entropy inequalities by Dougherty-Freiling-Zeger
# First 11 numbers are the coefficients,
#   then the copy string used
#   then the id of the inequality
#   then the indication whether is has been superseded
#
# The coordinates are:
# [a,b,c,d]  (a,b|c) (a,c|b) (b,c|a)  (a,b|d) (a,d|b) (b,d|a)
#            (c,d|a) (c,d|b) (c,d) (a,b|cd)
#
1, 1,1,1, 0,0,0, 0,0,0,0, r=c:ab, dfz:0:0, S
4, 5,5,1, 3,3,0, 0,0,0,0, rs=cd:ab;t=c:ar;u=r:ad, dfz:159:176
9, 3,9,0, 9,7,6, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:ac, dfz:177:177, S
3, 0,4,0, 4,2,2, 0,0,0,0, rs=cd:ab;t=a:bcs;u=s:abcdt, dfz:75:178, S
7, 7,6,4, 3,7,0, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:as, dfz:152:179, S
6, 2,5,8, 0,1,2, 0,0,0,0, rs=cd:ab;t=a:bcr;u=a:bcs, dfz:180:180
9, 0,12,3, 15,31,2, 0,0,0,0, rs=ac:bd;t=a:bcr;u=(ar):bdt, dfz:181:181
9, 0,4,3, 15,43,2, 0,0,0,0, rs=ac:bd;t=(ar):bd;u=r:abst, dfz:166:182
5, 4,7,2, 0,3,2, 0,0,0,0, rs=cd:ab;t=a:bcr;u=b:acs, dfz:183:183
13, 0,12,6, 7,8,14, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:ads, dfz:184:184, S
5, 2,4,7, 0,2,1, 0,0,0,0, rs=cd:ab;t=a:bcr;u=a:bdr, dfz:185:185
21, 11,13,24, 0,18,10, 0,0,0,0, rs=cd:ab;t=a:bcs;u=t:acr, dfz:122:186, S
5, 0,0,0, 5,6,3, 0,2,0,0, rs=ac:bd;t=b:adr;u=d:bcr, dfz:187:187, S
6, 5,6,3, 6,6,0, 0,0,0,0, rs=cd:ab;t=a:bcr;u=r:ad, dfz:188:188
